"","channel","Q.S102.O2.Pcor.min","Q.S102.O2.Pcor.max","Q.S102.O2.Pcor.mean","Q.S102.O2.Pcor.sd","Q.S102.O2.Pcor.var"
"1",1,20.0684751939,20.9801942729,20.8040581139629,0.166426923155231,0.0276979207509171
"2",2,19.612284794,20.976271058,20.3660605514687,0.335240182206027,0.11238597976553
"3",3,19.7367797013,20.6504660273,20.4108083070708,0.172806495760604,0.0298620849770598
"4",4,19.5831348015,20.5873978211,20.347482069696,0.205908812400792,0.0423984390243044
"5",5,19.6551400807,20.5552388183,20.31950484275,0.197313536977782,0.0389326318746824
"6",6,19.3968729589,20.5404756178,20.3674390826488,0.170217079227817,0.028973854060849
"7",7,19.7245131444,20.6174878645,20.3557775619227,0.176656822360591,0.0312076328865415
"8",8,19.5365061417,20.6079202282,20.3422569169466,0.189849874698794,0.0360429749231477
